,Section,Left border (lat),Central border (lat),Right border (lat),Bransfield positive flow rate,Bransfield negative flow rate,Weddell positive flow rate,Weddell negative flow rate,Bransfield lat,Bransfield lon,Weddell lat,Weddell lon,datetime,date,time
41,AI54tr9_3,-62.10231201723218,-62.39874280057848,-62.80223940499128,57191.35344673625,-316396.98163695825,1157.4566944597755,-1333878.789587085,-61.352664856240146,-55.162592693232,-62.16414179652929,-56.446942789480104,2018-02-12 21:37:00,12/2/2018,21:37:0
42,AI54tr9_4,-63.00052233505994,-62.80937361996621,-62.59590762667357,738309.7518672169,-806874.9510116762,0.0,-1218564.9725921662,-63.07382320985198,-57.35823864117265,-63.089867932721965,-57.27502004709095,2018-02-14 00:15:00,14/2/2018,0:15:0
43,AI54tr9_5,-63.01057144068182,-63.41894941404462,-63.67444859817624,1173876.67911968,-86723.8333005186,20499.921672603727,-314598.1023308079,-63.52087541017682,-60.92284417245537,-63.63924628123641,-61.021689651533954,2018-02-14 21:39:00,14/2/2018,21:39:0
44,AI54tr10_2,-63.70207966770977,-63.41824671719223,-63.01049256697297,1431694.6683391181,-9354.516516161788,428373.31843150797,-32925.329217335755,-63.29512783326209,-60.73340004310012,-63.78979959525169,-61.14289444405586,2018-02-27 06:17:00,27/2/2018,6:17:0
45,AI54tr11_2,-63.698831680230796,-63.421433810144656,-62.999144601635635,1963235.0928817168,-13877.091117420268,435900.1525292815,-62999.48339995754,-63.30288738012314,-60.73123248293996,-63.73567861039192,-61.09976678621024,2018-03-08 23:32:00,8/3/2018,23:32:0
46,AI54tr12_2,-62.327596871182315,-62.85378488246352,-63.448640881106265,1662464.8783764816,-190026.52204160602,0.0,-1244496.6094263438,-63.22928836103529,-60.26836979202925,-63.57053118757904,-60.88941659778357,2018-03-16 22:09:00,16/3/2018,22:9:0
47,ASV40tr2_5, -62.47897001914679, -62.849683491513126, -63.400061172433205, 297998.8248542828, -518797.76842274447, 103764.34146465284, -1214271.9812506149, -63.495638715103276, -60.81551369279623, -63.90143455937505, -60.770342736504965,2015-11-13 20:07:00,13/11/2015,20:7:0
48,ASV40tr2_6,-63.6308787111193,-62.84752209205181,-62.400438627228134,2158918.8607386,0.0,Nan,Nan,-62.43494520429522,-59.24858080688864,-64.19433777686207,-61.90847924910487,2015-11-15 16:32:00,15/11/2015,16:32:0
49,ASV40tr3_4,-61.33654524106532,-62.11851633153857,-62.949782735668116,Nan,Nan,733710.9800361597,-1141045.4405334904,-61.33654524106532,-55.20286790560931,-63.509419946931295,-56.78049920126796,2015-11-28 16:22:00,28/11/2015,16:22:0
50,ASV40tr4_2,-62.63429070822895,-62.94978311285377,-63.269898304715745,628798.1113315225,-135112.3215732325,0.0,-1230691.4574719863,-63.65565410815178,-61.04862133506686,-63.90528776217253,-60.77872568741441,2015-12-11 21:36:00,11/12/2015,21:36:0
51,ASV40tr4_5,-62.84882753156126,-62.64868599828333,-62.30076635722071,1276501.277916912,-283275.66435872717,0.0,-1358175.351071875,-62.57816695142538,-58.15051125828178,-62.57816695142538,-58.15051125828178,2015-12-15 00:02:00,15/12/2015,0:2:0
52,ASV40tr5_7,-62.46451027225703,-62.71016277372837,-62.89923881180584,1860309.842470445,-80048.21495478749,970688.7089135145,-60830.018586613674,-62.75995396077633,-58.2593138096854,-63.56949606444687,-56.22307393234222,2015-12-26 17:57:00,26/12/2015,17:57:0
53,ASV40tr5_8,-62.850937843322754,-62.65075745992362,-62.203186629340045,1907320.935634387,-800979.7409244427,166588.8969461629,-536812.5251163513,-62.3615318024531,-58.600911777466536,-62.86390833556652,-57.708905450999744,2015-12-28 18:26:00,28/12/2015,18:26:0
54,ASV40tr6_1,-62.31843926478177,-62.82871955540031,-63.429023036733284,718051.30836471,-101313.34298555828,7044.814175536855,-1037179.4331705836,-64.270193958655,-61.64927978999914,-64.46100303903222,-62.22530198749155,2015-12-29 21:35:00,29/12/2015,21:35:0
55,ASV40tr6_2,-63.70053572114557,-63.42070135753602,-62.99259837716818,2305857.3189179804,-309.8940630963588,413169.64285284287,-18941.78102810532,-63.5314451996237,-60.94093776773661,-63.55261193588376,-60.96048499457539,2016-01-01 22:33:00,1/1/2016,22:33:0
56,ASV40tr6_3,-62.580123539082706,-62.7945419261232,-62.91892647743225,2409903.695112974,-235838.3330600258,608241.7236425015,-23423.894378739755,-62.75230966508389,-58.814432420767844,-62.86156655754893,-58.09170717839152,2016-01-02 22:46:00,2/1/2016,22:46:0
57,ASV40tr6_4,-62.94819788541645,-62.19847788568586,-61.919701150618494,Nan,Nan,915582.1491071292,-184381.08182073734,-61.40389990992843,-55.22192286327481,-62.80358608346432,-57.32360868249089,2016-01-04 16:52:00,4/1/2016,16:52:0
58,ASV40tr7_2,-63.69886399246753,-63.42027107253671,-62.98980556894094,1685454.8727333092,-14979.628891419443,413164.74634067423,-48339.9593874734,-62.99054116476327,-60.43542506173253,-63.71955354698003,-61.087373304180794,2016-01-17 21:15:00,17/1/2016,21:15:0
59,ASV40tr7_5,-62.33730508480221,-62.84920325037092,-63.701798622496426,457393.97738069686,-335466.98994745,269908.1122180343,-680296.778027731,-64.52780927997081,-62.39851380698382,-64.5712029794231,-62.5037760939449,2002-01-01 19:08:00,1/1/2002,19:8:0
60,ASV40tr7_6,-63.70202723890543,-63.42103650793433,-62.989108446054146,579430.2320280138,-83115.89807546057,599410.456752694,-44318.53634883151,-63.013813728466644,-60.4912795079872,-64.05643568839878,-61.36780999135226,2002-01-04 22:35:00,4/1/2002,22:35:0
61,ASV40tr7_8,-62.79998991172761,-62.400771765969715,-62.00061656534672,1668308.9685509154,0.0,334350.25615708984,-336259.29565474443,-61.66205175686628,-55.50750306341797,-62.63106510043144,-57.40761073306203,2016-01-25 15:59:00,25/1/2016,15:59:0
62,ASV40tr9_2,-63.69897023309022,-63.4209785470739,-62.9856091691181,1643351.8826541146,-23442.560915946236,325508.16180762084,-202339.4226884113,-63.65880419500171,-61.03814160916954,-63.89347372110932,-61.18853063788265,2016-02-21 20:35:00,21/2/2016,20:35:0
63,ASV40tr10_3,-63.00110278185457,-63.56112090870738,-63.84868267457932,176575.0618692234,-987573.8691355824,0.0,-1689430.6314134472,-62.984293419867754,-61.02965627331287,-63.89579923823476,-61.15581548307091,2016-02-25 22:31:00,25/2/2016,22:31:0
64,ASV40tr10_5,-62.74816510733217,-62.23084431141615,-62.00060604605825,Nan,Nan,65699.91941542871,-410006.5012973356,-61.913998941890895,-55.893805869854994,-62.65901581384242,-57.24257114343346,2016-02-29 21:39:00,29/2/2016,21:39:0
65,ASV43tr1_2,-62.7726821321994,-62.23066058009863,-61.99918623548,Nan,Nan,145095.5266735048,-489002.46258610993,-61.289008241146796,-55.14237847644836,-62.071542637422674,-56.05208897497504,2016-12-12 23:05:00,12/12/2016,23:5:0
66,ASV43tr2_3, -62.66616402659565, -62.85127064678818, -63.44016820192337, Nan, Nan, 9361.68292875816, -1241028.261721687, Nan, Nan, -63.197977803647525, -60.378666250035174,2016-12-20 21:28:00,20/12/2016,21:28:0
67,ASV43tr2_4,-63.679254949092865,-63.417723057791605,-62.962845973670476,2267585.182981185,-6.835602680848641,485949.89729161287,-13980.083078061774,-63.54318615049124,-61.055357912555344,-64.54347220715135,-62.63977540656924,2016-12-25 21:47:00,25/12/2016,21:47:0
68,ASV43tr3_1, -62.20425322651863, -62.83898642286658, -63.389180037193, 2345498.00127084, -125432.41749845349,0, -1402781.3998281758, -63.708305577747524, -61.0772601608187, -62.32772440183908, -58.73719066847116,2016-12-27 22:59:00,27/12/2016,22:59:0
69,ASV43tr3_2,-63.698055515997105,-63.42172876931728,-62.999568348750465,1608538.4052275112,-3536.190788070263,284279.744289222,-109185.00710018602,-63.003603899851434,-60.49089297652245,-63.17393699660897,-60.63456013798714,2016-12-30 00:00:00,30/12/2016,0:0:0
70,ASV43tr3_4,-62.20756839495152,-62.67991458065807,-62.95090632978828,3459351.209961233,-512314.7905650885,6380.352393436578,-1176433.5895799028,-62.610169728286564,-58.21496893186122,-63.17061960697174,-57.29574849363416,2016-12-31 02:52:00,31/12/2016,2:52:0
71,ASV43tr3_5,-62.790645346976824,-62.189650065265596,-62.001405260525644,Nan,Nan,878823.3558190991,-235068.45016086145,-61.984091475605965,-55.93854633159936,-62.58226318750529,-56.752523509785526,2017-01-02 17:15:00,2/1/2017,17:15:0
72,ASV43tr5_1, -62.227202164940536, -62.84929369110614, -63.39946375228465, 2388893.739444098, -189240.0589449,0, -1385592.7531534932, -64.04061685781926, -61.104305754415684, -62.64698040671647, -59.25325120333582,2017-01-17 02:52:00,17/1/2017,2:52:0
73,ASV43tr5_4,-62.5782579369843,-62.825702112168074,-62.940629236400135,2036183.56049814,-440096.33493720635,6583.743585796282,-458299.7987537312,-62.89747580420226,-58.38516569696368,-63.061700379475965,-57.50582115724683,2017-01-20 22:32:00,20/1/2017,22:32:0
74,ASV43tr7_3, -62.12756698485464, -62.86971695255488, -63.40017302893103, 1452247.4502662409, -516875.81618987746,0, -1531460.115814032, -62.44169733021408, -58.508071093820035, -62.20924867317081, -58.057653936557465,2017-02-14 12:10:00,14/2/2017,12:10:0
75,ASV43tr5_5,-63.128618225455284,-62.63155137654394,-62.171983527950935,Nan,Nan,222819.139402917,-641702.5439262316,-61.43004931043835,-55.151387262158096,-62.922617616131895,-57.78926682192832,2017-01-21 22:32:00,21/1/2017,22:32:0
76,ASV43tr7_4,-63.69899806100875,-63.41959792189299,-62.99879599828273,1717258.740900117,0.0,Nan,Nan,-63.00294214859605,-60.4370162403211,-63.498606495559216,-60.99540681112558,2017-02-19 23:04:00,19/2/2017,23:4:0
77,ASV43tr8_1, -62.20489507075399, -62.859202274121344, -63.401926564984024, 1478345.0697689108, -306049.38928133785, 149179.79621620176, -1378504.4264253352, -62.941279504448175, -59.76851088926196, -64.51554483734071, -62.21943608019501,2017-02-21 14:39:00,21/2/2017,14:39:0
78,ASV43tr8_5,-62.90151508525014,-62.1990448795259,-62.00134369544686,Nan,Nan,901167.0229525765,-365916.7463871221,-61.7642178107053,-55.601929645054035,-63.177541969344034,-57.29923896957189,2017-02-26 17:48:00,26/2/2017,17:48:0
79,ASV43tr9_3,-63.00348206888884,-63.420423287898295,-63.70117316488177,987111.1418092436,-630263.0407891471,1220.4344348909485,-861702.483531156,-63.39181807357818,-60.81861830782145,-64.01025144383311,-61.12322496715933,2017-03-11 22:41:00,11/3/2017,22:41:0
80,ASV43tr10_2,-63.69777673389762,-63.419217467308044,-62.999247699044645,1666505.076989052,0.0,578242.9107165402,-13372.891278673653,-63.17368038464338,-60.62331116292626,-64.42562176845968,-62.13086124043912,2017-03-25 00:15:00,25/3/2017,0:15:0
81,ASV45tr3_3,-62.149820141494274, -62.878838181495674, -63.41102009173483, Nan, Nan, 0, -1242959.402656661, -62.290251972153776, -58.281573629938066, -62.7770155761391, -59.24634434748441,2017-11-28 22:30:00,28/11/2017,22:30:0
82,ASV45tr4_2, -63.43911757227035, -62.88082553073764, -62.461596387438476, 3048142.3212342737, -113408.14331874528, 1153080.6519340058, -1401.3673216702489, -62.82684171572328, -59.86826014705003, -62.775648068636656, -59.799296613782644,2017-12-10 21:10:00,10/12/2017,21:10:0
83,ASV45tr4_3,-62.47242827899753,-62.75996112730354,-62.999632763676345,2214017.457836656,-514324.33538945275,561910.1926081735,-299507.44515451265,-62.94184025377035,-57.842000601813204,-63.44090010970831,-56.60491966176778,2017-12-11 15:14:00,11/12/2017,15:14:0
84,ASV45tr4_5,-62.90030846837908,-62.46044701896607,-62.10003465414047,3127160.1069162074,0.0,21791.348792769484,-1536555.3170053016,-62.61933697387576,-57.50970466062426,-62.73164877668023,-57.404263503849506,2017-12-12 21:48:00,12/12/2017,21:48:0
85,ASV45tr5_1, -62.2874239180237, -62.8497959766537, -63.40149213094264, 1589613.3213146229, -517173.45056167664,0, -2260297.5057877665, -62.33750344254077, -58.66764509584755, -62.98517268151045, -59.84362652990967,2017-12-16 23:35:00,16/12/2017,23:35:0
86,ASV45tr5_3,-62.99904418643564,-62.64868059195579,-62.1004047151655,2065481.80751821,-944577.933904864,125420.31145294974,-1831967.5978118957,-62.39814290776849,-57.71257907152176,-63.21749913040549,-56.9307821150869,2017-12-18 21:25:00,18/12/2017,21:25:0
87,ASV45tr8_2,-62.57528303191066,-62.962559438310564,-63.431174252182245,1267905.826341773,-109262.06436219758,0.0,-1174240.419215097,-63.491789912804954,-60.801804335787885,-63.6392034497112,-60.99177313037218,2018-01-23 20:48:00,23/1/2018,20:48:0
88,ASV45tr8_3,-63.69954330381006,-63.420234695076935,-62.98272516578436,1631591.5247378834,-48839.44366954568,372918.6088944941,-167353.38131377034,-62.98783167265356,-60.44399769511074,-63.378759822808206,-60.79680847004056,2018-01-29 01:01:00,29/1/2018,1:1:0
89,ASV45tr9_1, -62.33989379368722, -62.86831587553024, -63.43750476837158, 1853873.3942568717, -153589.33062529846, 34442.60653062586, -891763.527948331, -62.49112507794053, -58.971079420298345, -62.59633661247789, -59.155183648690574,2018-01-31 19:27:00,31/1/2018,19:27:0
90,ASV45tr9_2,-63.70067050214857,-63.421218311414115,-62.97079608310014,2777715.8637224985,-3440.0682745703825,552712.3740724465,-90108.83863631953,-63.15651525277645,-60.60655598994346,-63.617727044038475,-60.992957577109344,2018-02-03 03:33:00,3/2/2018,3:33:0
91,ASV45tr9_4,-62.59961209259928,-62.789962347596884,-62.94948651921004,2840246.0210571205,-93131.73149852725,367819.1003555724,-235535.84652034962,-62.76623720303178,-58.72540588025004,-62.98503601457924,-57.54724783357233,2018-02-03 23:12:00,3/2/2018,23:12:0
92,ASV45tr9_5,-62.79868748970329,-62.20055735204369,-62.001161724329,Nan,Nan,1192305.804870929,-61641.446093694845,-61.924886154010885,-55.901163211092346,-63.01722792908549,-57.0977034419775,2018-02-05 02:48:00,5/2/2018,2:48:0
93,ASV45tr10_3, -62.65434617176652, -62.97023017890753, -63.439316181465976, 1744450.0982419518,0, 132386.0571482803, -943974.442810182, -63.40767822694035, -60.70337464101613, -63.43407099600881, -60.73759317398071,2018-02-14 22:11:00,14/2/2018,22:11:0
94,ASV45tr10_4,-63.75219561159611,-63.42092016711831,-62.898352928459644,2240324.66484752,-24623.831304638345,339232.6681947689,-124938.58237202404,-62.77964053675532,-60.57255739811808,-63.08007669635118,-60.512880217283964,2018-02-19 03:17:00,19/2/2018,3:17:0
95,ASV45tr11_2,-63.00148306880146,-63.41845538467169,-63.72957457322627,857952.5425914269,-397695.18229933694,66136.56586084705,-480354.79301622364,-63.13232005108148,-60.608157771639526,-63.67923738900572,-61.050708387047045,2018-02-21 21:52:00,21/2/2018,21:52:0
96,ASV45tr11_3, -63.44815238378943, -62.92843909934163, -62.63117155060172, 2004909.6432097247,0, 806724.7315703103, -30925.78530251938, -63.316698661074035, -60.606258432380855,-62.737065707333386, -59.83512095175684,2018-02-27 23:00:00,27/2/2018,23:0:0
97,ASV45tr12_2,-63.7301111407578,-63.4203566517681,-62.99159900285304,2063602.460174089,-32215.88072858314,331842.6877887425,-64482.945222377166,-63.064007121138275,-60.54309567902237,-63.64586915820837,-61.00717450026423,2018-03-10 02:00:00,10/3/2018,2:0:0
98,ASV45tr13_2, -62.330607818439596, -62.85855192225426, -63.44217013567686, Nan, Nan, 13635.416668633541, -1268905.4314703115, -63.6470011761412, -61.01227363105863, -62.87431970704347, -59.63108879048377,2018-03-17 19:03:00,17/3/2018,19:3:0
99,2022_01_20_Bransfield000,-62.32801123056561,-62.46869363822044,-62.86003132816404,Nan,Nan,25334.75270731596,-1114587.1538845946,-62.3589254077524,-56.41064101830125,-62.40701967850328,-56.628688643686466,2022-01-20 22:29:00,20/1/2022,22:29:0
100,2022_01_20_Bransfield_AANII000, -62.879702313803136, -62.6591436797753, -62.51993066165596, 4227.009475555609, -1002857.5328014669, 118285.72939231378, -1685095.5542943233, -62.608328810893, -57.89701673202217, -62.887159776873894, -57.131572365760796,2022-01-21 12:10:00,21/1/2022,12:10:0
101,2022_01_22_Bransfield_AANII-2st000, -62.34999482519925, -62.720486889593296, -63.00142917316407, 1974567.547899688, -503988.2856287191,0, -1379777.110391233, -62.35188817139715, -58.709791651926935, -62.639455301687114, -58.187473607249565,2022-01-23 15:13:00,23/1/2022,15:13:0
102,2022_01_22_Bransfield_Sat_3001,-63.00287614110857,-62.7225979976356,-62.35660990700126,1808139.2102214843,-871191.0883210779,46226.26026728059,-872300.0815199476,-62.83877658192068,-58.204346252605326,-62.99222073052079,-58.09943768195807,2022-01-23 04:43:00,23/1/2022,4:43:0
103,2022_01_24_Bransfield_Sat_2000,-62.481826907023795,-62.8790922369808,-63.15019064582885,1715451.0724978037,-507274.9583471699,45636.48198522168,-668970.347387274,-62.91628332808614,-59.065772378817215,-63.04841074626893,-58.95617455244064,2022-01-24 21:39:00,24/1/2022,21:39:0
